topic,age,level,model,agent,run_index,seed,repeat_count,json_valid,schema_compliance,word_count,examples_count,readability,lix_value,content_coverage,tone_encouragement,tone_simplicity,tone_engagement,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,ragas_avg,ragas_status,hallucination_rate,ttft_ms,latency,rag_score,llm_score,agent_score,final_score,response_length,details,pedagogical_graph_json
Python,12,beginner,llama3.1:latest,architect,1,42,3,True,True,,,,,,,,,,,,,,,,35695.6,326.01,,48.25,100,84.47,2573,"{""agent"": ""architect"", ""json_valid"": true, ""schema_compliance"": true, ""module_count"": 4, ""module_completeness"": 100.0, ""pedagogical_structure"": 100, ""latency"": 326.01, ""response_length"": 2573, ""agent_score"": 100, ""generated_content"": ""{\n  \""courseTitle\"": \""La Qu\u00eate de la Programmation Python\"",\n  \""programmingLanguage\"": \""Python\"",\n  \""level\"": \""beginner\"",\n  \""totalDuration\"": \""6 heures\"",\n  \""objectives\"": [\n    \""Comprendre les conditions et les boucles en Python\"",\n    \""Apprendre \u00e0 appliquer les concepts dans des cas simples\""\n  ],\n  \""modules\"": [\n    {\n      \""order\"": 1,\n      \""title\"": \""Le Secret de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""D\u00e9couvrez comment la programmation peut r\u00e9soudre des probl\u00e8mes concrets dans le monde r\u00e9el.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Les Conditions en Python\"",\n          \""description\"": \""Apprenez \u00e0 utiliser les conditions pour v\u00e9rifier les valeurs en Python.\""\n        },\n        {\n          \""title\"": \""Les Boucles en Python\"",\n          \""description\"": \""D\u00e9couvrez comment utiliser les boucles pour r\u00e9p\u00e9ter des actions en Python.\""\n        }\n      ]\n    },\n    {\n      \""order\"": 2,\n      \""title\"": \""Les Fondements de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""Comprenez les concepts cl\u00e9s de la programmation Python.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Conditions et Boucles en Python\"",\n          \""description\"": \""Apprenez \u00e0 utiliser les conditions et les boucles ensemble pour r\u00e9soudre des probl\u00e8mes.\""\n        }\n      ]\n    },\n    {\n      \""order\"": 3,\n      \""title\"": \""La Manipulation de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""Mettez en pratique vos connaissances en utilisant les conditions et les boucles pour r\u00e9soudre des probl\u00e8mes.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Exercice 1 : Conditions et Boucles\"",\n          \""description\"": \""R\u00e9solvez un probl\u00e8me qui n\u00e9cessite l'utilisation de conditions et de boucles.\""\n        },\n        {\n          \""title\"": \""Exercice 2 : Manipulation de Variables\"",\n          \""description\"": \""Apprenez \u00e0 manipuler les variables en utilisant les conditions et les boucles.\""\n        }\n      ]\n    },\n    {\n      \""order\"": 4,\n      \""title\"": \""L'Expansion de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""D\u00e9couvrez comment utiliser les concepts que vous avez appris pour r\u00e9soudre des probl\u00e8mes plus complexes.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Exercice 3 : Programmation Avanc\u00e9e\"",\n          \""description\"": \""R\u00e9solvez un probl\u00e8me qui n\u00e9cessite l'utilisation de concepts avanc\u00e9s de la programmation Python.\""\n        }\n      ]\n    }\n  ]\n}"", ""ttft_ms"": 35695.6, ""llm_score"": 48.25, ""rag_score"": null, ""final_score"": 84.47, ""context_docs_count"": 3}",outputs\graph_Python_age12_llama3.1_latest_20260516_011718.json
Python,12,beginner,llama3.1:latest,writer,1,42,3,True,True,67,0,89.53,34.19,40.0,,24.39,60.0,0.75,0.8553,1.0,0.9231,0.8821,ok,0.25,27860.1,95.49,85.03,74.08,55,66.73,517,"{""agent"": ""writer"", ""json_valid"": true, ""schema_compliance"": true, ""word_count"": 67, ""examples_count"": 0, ""readability"": 89.53, ""lix_value"": 34.19, ""educational_richness"": 0.0, ""keyword_coverage"": 100.0, ""tone_simplicity"": 24.39, ""ragas_faithfulness"": 0.75, ""ragas_answer_relevancy"": 0.8553, ""ragas_context_precision"": 1.0, ""ragas_context_recall"": 0.9231, ""ragas_avg"": 0.8821, ""ragas_status"": ""ok"", ""latency"": 95.49, ""response_length"": 517, ""agent_score"": 55, ""content_coverage"": 40.0, ""tone_engagement"": 60.0, ""tone_source"": ""groq"", ""generated_content"": ""{\n  \""order\"": 0,\n  \""title\"": \""Conditionnels et boucles\"",\n  \""content\"": \""## Section 1: Les Conditions, c'est comme un Quiz en Python !\\\\nVous savez jouer \u00e0 des jeux vid\u00e9o o\u00f9 vous devez r\u00e9soudre des \u00e9nigmes pour passer au niveau suivant ? Eh bien, dans Python, les conditions sont comme ces \u00e9nigmes. Elles vous permettent de v\u00e9rifier si une valeur est sup\u00e9rieure ou inf\u00e9rieure \u00e0 une autre valeur. C'est tr\u00e8s utile pour prendre des d\u00e9cisions en programmation !\\\\n[Doc 1]\"",\n  \""word_count\"": 0,\n  \""language_target\"": \""Python\""\n}"", ""ttft_ms"": 27860.1, ""llm_score"": 74.08, ""rag_score"": 85.03, ""final_score"": 66.73, ""hallucination_rate"": 0.25, ""context_docs_count"": 3}",outputs\graph_Python_age12_llama3.1_latest_20260516_011718.json
Python,12,beginner,llama3.1:latest,enricher,1,42,3,True,,,,,,,,,,,,,,,,,8863.0,138.09,,80.0,100,94.0,1103,"{""agent"": ""enricher"", ""json_valid"": true, ""schema_validity"": 100.0, ""options_validity"": 100.0, ""answer_index_validity"": 100.0, ""diversity_score"": 100.0, ""exercise_count"": 2, ""valid_exercises"": 2, ""latency"": 138.09, ""response_length"": 1103, ""agent_score"": 100, ""generated_content"": ""{ \n  \""questions\"": [\n    {\n      \""question\"": \""Qu'est-ce que les conditions en Python ?\"",\n      \""options\"": [\""Des \u00e9nigmes pour r\u00e9soudre des probl\u00e8mes\"", \""Des outils pour v\u00e9rifier si une valeur est sup\u00e9rieure ou inf\u00e9rieure \u00e0 une autre\"", \""Des instructions pour ex\u00e9cuter du code\"", \""Des variables pour stocker des valeurs\""],\n      \""correct_index\"": 1,\n      \""explanation\"": \""Bravo ! En fait, les conditions en Python sont comme des \u00e9nigmes qui vous permettent de v\u00e9rifier si une valeur est sup\u00e9rieure ou inf\u00e9rieure \u00e0 une autre. C'est tr\u00e8s utile pour prendre des d\u00e9cisions en programmation !\""\n    },\n    {\n      \""question\"": \""Quel est l'objectif principal des conditions en Python ?\"",\n      \""options\"": [\""Ex\u00e9cuter du code\"", \""V\u00e9rifier si une valeur est sup\u00e9rieure ou inf\u00e9rieure \u00e0 une autre\"", \""Stocker des valeurs dans des variables\"", \""R\u00e9soudre des \u00e9nigmes\""],\n      \""correct_index\"": 1,\n      \""explanation\"": \""Super ! En fait, l'objectif principal des conditions en Python est de v\u00e9rifier si une valeur est sup\u00e9rieure ou inf\u00e9rieure \u00e0 une autre. C'est tr\u00e8s utile pour prendre des d\u00e9cisions en programmation !\""\n    }\n  ]\n}"", ""ttft_ms"": 8863.0, ""llm_score"": 80.0, ""rag_score"": null, ""final_score"": 94.0}",outputs\graph_Python_age12_llama3.1_latest_20260516_011718.json
Python,12,beginner,llama3.1:latest,critic,1,42,3,True,True,,,,,,,,,,,,,,,,9530.6,102.3,,82.95,100,94.89,789,"{""agent"": ""critic"", ""json_valid"": true, ""schema_compliance"": true, ""score_range_validity"": true, ""consistency_score"": 100, ""issue_completeness"": 100, ""latency"": 102.3, ""response_length"": 789, ""agent_score"": 100, ""generated_content"": ""{\n\n\""score\"": 0,\n\n\""approved\"": false,\n\n\""module_issues\"": [\n\n{\n\""module\"": \""Les Conditions, c'est comme un Quiz en Python !\"",\n\n\""issue\"": \""Le vocabulaire et les concepts utilis\u00e9s sont trop complexes pour un enfant de 12 ans. L'analogie avec les jeux vid\u00e9o est pertinente mais le contenu doit \u00eatre adapt\u00e9 \u00e0 l'\u00e2ge cibl\u00e9.\""\n\n},\n\n{\n\n\""module\"": \""Les Conditions, c'est comme un Quiz en Python !\"",\n\n\""issue\"": \""La difficult\u00e9 technique n'a pas augment\u00e9 de mani\u00e8re logique entre le Module 1 et le dernier Module. Le cours semble manquer d'une progression claire dans la complexit\u00e9 des concepts.\""\n\n}\n\n],\n\n\""global_issues\"": [\n\n\""Le contenu ne respecte pas les contraintes du langage Python pour le sujet. Les exemples et exercices doivent \u00eatre r\u00e9ellement existants dans le cours JSON ou dans les sources RAG.\""\n\n]\n\n}"", ""ttft_ms"": 9530.6, ""llm_score"": 82.95, ""rag_score"": null, ""final_score"": 94.89}",outputs\graph_Python_age12_llama3.1_latest_20260516_011718.json
Python,12,beginner,llama3.1:latest,architect,2,43,3,True,True,,,,,,,,,,,,,,,,21158.3,331.59,,56.41,100,86.92,2786,"{""agent"": ""architect"", ""json_valid"": true, ""schema_compliance"": true, ""module_count"": 4, ""module_completeness"": 100.0, ""pedagogical_structure"": 100, ""latency"": 331.59, ""response_length"": 2786, ""agent_score"": 100, ""generated_content"": ""{\n  \""courseTitle\"": \""La Qu\u00eate de la Programmation Python\"",\n  \""programmingLanguage\"": \""Python\"",\n  \""level\"": \""beginner\"",\n  \""totalDuration\"": \""6 heures\"",\n  \""objectives\"": [\n    \""Comprendre les conditions et les boucles en Python\"",\n    \""Apprendre \u00e0 appliquer les concepts dans des cas simples\""\n  ],\n  \""modules\"": [\n    {\n      \""order\"": 1,\n      \""title\"": \""Le Secret de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""D\u00e9couvrez comment la programmation Python peut r\u00e9soudre des probl\u00e8mes concrets dans le monde r\u00e9el.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Les Conditions en Python\"",\n          \""description\"": \""Apprenez \u00e0 utiliser les conditions pour v\u00e9rifier les valeurs en Python.\""\n        },\n        {\n          \""title\"": \""Les Boucles en Python\"",\n          \""description\"": \""D\u00e9couvrez comment utiliser les boucles pour r\u00e9p\u00e9ter des actions en Python.\""\n        }\n      ]\n    },\n    {\n      \""order\"": 2,\n      \""title\"": \""Les Fondations de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""Comprenez les concepts cl\u00e9s de la programmation Python.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Concept: Conditions\"",\n          \""description\"": \""Les conditions sont utilis\u00e9es pour v\u00e9rifier les valeurs, elles peuvent \u00eatre utilis\u00e9es avec les variables ou directement.\""\n        },\n        {\n          \""title\"": \""Concept: Boucles\"",\n          \""description\"": \""Les boucles sont utilis\u00e9es pour r\u00e9p\u00e9ter des actions, elles peuvent \u00eatre utilis\u00e9es avec les variables ou directement.\""\n        }\n      ]\n    },\n    {\n      \""order\"": 3,\n      \""title\"": \""La Manipulation de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""Apprenez \u00e0 mettre en pratique vos connaissances et obtenez des 'petites victoires' techniques.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Exercice: Quel est le type de condition pour v\u00e9rifier si une variable est sup\u00e9rieure \u00e0 5?\"",\n          \""description\"": \""Options: ['sup\u00e9rieur', 'inf\u00e9rieur', '\u00e9gal']\""\n        },\n        {\n          \""title\"": \""Exercice: Remplis le trou: __________ est utilis\u00e9 pour r\u00e9p\u00e9ter des actions.\"",\n          \""description\"": \""R\u00e9ponse attendue: Boucle\""\n        }\n      ]\n    },\n    {\n      \""order\"": 4,\n      \""title\"": \""L'Expansion de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""D\u00e9couvrez comment appliquer vos connaissances \u00e0 des concepts plus complexes ou cr\u00e9atifs.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Concept: Conditions et Boucles en Python\"",\n          \""description\"": \""Apprenez \u00e0 utiliser les conditions et les boucles ensemble pour r\u00e9soudre des probl\u00e8mes complexes.\""\n        }\n      ]\n    }\n  ]\n}"", ""ttft_ms"": 21158.3, ""llm_score"": 56.41, ""rag_score"": null, ""final_score"": 86.92, ""context_docs_count"": 3}",outputs\graph_Python_age12_llama3.1_latest_20260516_011718.json
Python,12,beginner,llama3.1:latest,writer,2,43,3,True,True,215,2,68.88,42.45,46.32,,20.78,40.0,0.5714,0.872,1.0,1.0,0.8609,ok,0.4286,29052.3,211.43,80.52,62.86,62,65.96,1440,"{""agent"": ""writer"", ""json_valid"": true, ""schema_compliance"": true, ""word_count"": 215, ""examples_count"": 2, ""readability"": 68.88, ""lix_value"": 42.45, ""educational_richness"": 10.53, ""keyword_coverage"": 100.0, ""tone_simplicity"": 20.78, ""ragas_faithfulness"": 0.5714, ""ragas_answer_relevancy"": 0.872, ""ragas_context_precision"": 1.0, ""ragas_context_recall"": 1.0, ""ragas_avg"": 0.8609, ""ragas_status"": ""ok"", ""latency"": 211.43, ""response_length"": 1440, ""agent_score"": 62, ""content_coverage"": 46.32, ""tone_engagement"": 40.0, ""tone_source"": ""groq"", ""generated_content"": ""{\n  \""order\"": 0,\n  \""title\"": \""Conditionnels et boucles\"",\n  \""content\"": \""## Section 1: L'aventure commence !\\\\nVous avez d\u00e9j\u00e0 appris les bases de Python, maintenant il est temps d'explorer les conditions et les boucles. C'est comme jouer \u00e0 un jeu vid\u00e9o : vous devez prendre des d\u00e9cisions pour progresser dans le niveau. [Doc 1]\\\\n\\n## Section 2: Les conditions\\\\nLes conditions sont utilis\u00e9es pour v\u00e9rifier les valeurs. Vous pouvez les utiliser avec des variables ou directement. Par exemple, si vous voulez savoir si une personne est plus \u00e2g\u00e9e que 18 ans, vous pouvez \u00e9crire : `age > 18`. [Doc 2]\\\\n\\n## Section 3: Les boucles\\\\nLes boucles sont utilis\u00e9es pour r\u00e9p\u00e9ter des actions. Vous pouvez les utiliser avec des variables ou directement. Par exemple, si vous voulez afficher les nombres de 1 \u00e0 10, vous pouvez \u00e9crire : `for i in range(1, 11): print(i)`. [Doc 3]\\\\n\\n## Section 4: Pratique\\\\nEssayons maintenant d'appliquer ce que nous avons appris ! R\u00e9pondez aux questions suivantes :\\\\n- Quel est le type de condition pour v\u00e9rifier si une variable est sup\u00e9rieure \u00e0 5 ? (sup\u00e9rieur, inf\u00e9rieur, \u00e9gal) [Doc 4]\\\\n- Qu'est-ce qui est utilis\u00e9 pour r\u00e9p\u00e9ter des actions ? [Doc 5]\\\\n\\n## Section 5: Recap\\\\nVous avez maintenant compris les conditions et les boucles. Vous pouvez les utiliser pour r\u00e9soudre des probl\u00e8mes en Python ! Continuez \u00e0 pratiquer et vous deviendrez un expert en Python.\"",\n  \""word_count\"": 320,\n  \""language_target\"": \""Python\""\n}"", ""ttft_ms"": 29052.3, ""llm_score"": 62.86, ""rag_score"": 80.52, ""final_score"": 65.96, ""hallucination_rate"": 0.4286, ""context_docs_count"": 3}",outputs\graph_Python_age12_llama3.1_latest_20260516_011718.json
Python,12,beginner,llama3.1:latest,enricher,2,43,3,True,,,,,,,,,,,,,,,,,11670.9,62.6,,89.57,0,26.87,398,"{""agent"": ""enricher"", ""json_valid"": true, ""schema_validity"": 0, ""options_validity"": 0, ""answer_index_validity"": 0, ""diversity_score"": 0, ""exercise_count"": 0, ""valid_exercises"": 0, ""latency"": 62.6, ""response_length"": 398, ""agent_score"": 0, ""generated_content"": ""{\n  \""question\"": \""Quel est le type de condition pour v\u00e9rifier si une variable est sup\u00e9rieure \u00e0 5 ?\"",\n  \""options\"": [\""sup\u00e9rieur\"", \""inf\u00e9rieur\"", \""\u00e9gal\"", \""identique\""],\n  \""correct_index\"": 0,\n  \""explanation\"": \""Bravo ! En fait, vous utilisez un op\u00e9rateur de comparaison pour v\u00e9rifier si une valeur est sup\u00e9rieure \u00e0 5. C'est comme v\u00e9rifier si tu as plus d'argent que n\u00e9cessaire pour acheter quelque chose.\""\n}"", ""ttft_ms"": 11670.9, ""llm_score"": 89.57, ""rag_score"": null, ""final_score"": 26.87}",outputs\graph_Python_age12_llama3.1_latest_20260516_011718.json
Python,12,beginner,llama3.1:latest,critic,2,43,3,True,True,,,,,,,,,,,,,,,,11888.3,133.8,,80.0,75,76.5,1192,"{""agent"": ""critic"", ""json_valid"": true, ""schema_compliance"": true, ""score_range_validity"": true, ""consistency_score"": 0, ""issue_completeness"": 100, ""latency"": 133.8, ""response_length"": 1192, ""agent_score"": 75, ""generated_content"": ""{  \n  \""score\"": 60,\n  \""approved\"": false,\n  \""module_issues\"": [ \n    {\n      \""module\"": \""Section 1: L'aventure commence !\"",\n      \""issue\"": \""L'analogie avec un jeu vid\u00e9o peut \u00eatre perturbante pour les \u00e9l\u00e8ves qui n'ont pas d'exp\u00e9rience en jeux vid\u00e9o. Il faudrait trouver une analogie plus neutre.\""\n    },\n    {\n      \""module\"": \""Section 2: Les conditions\"",\n      \""issue\"": \""La phrase 'Vous pouvez les utiliser avec des variables ou directement' est ambigu\u00eb et pourrait \u00eatre clarifi\u00e9e.\""\n    },\n    {\n      \""module\"": \""Section 3: Les boucles\"",\n      \""issue\"": \""L'exemple de boucle pour afficher les nombres de 1 \u00e0 10 n'est pas tr\u00e8s utile, car il ne montre pas comment utiliser une variable dans la boucle.\""\n    },\n    {\n      \""module\"": \""Section 4: Pratique\"",\n      \""issue\"": \""Les questions pos\u00e9es sont trop simples et ne permettent pas d'\u00e9valuer r\u00e9ellement la compr\u00e9hension des conditions et des boucles.\""\n    }\n  ],\n  \""global_issues\"": [\n    \""Le cours manque de progression logique entre les modules. Les concepts sont pr\u00e9sent\u00e9s sans une structure claire.\"",\n    \""Les exemples et exercices ne sont pas toujours pertinents pour un enfant de 12 ans, ce qui pourrait rendre le cours difficile \u00e0 suivre.\""\n  ]\n}"", ""ttft_ms"": 11888.3, ""llm_score"": 80.0, ""rag_score"": null, ""final_score"": 76.5}",outputs\graph_Python_age12_llama3.1_latest_20260516_011718.json
Python,12,beginner,llama3.1:latest,architect,3,44,3,True,True,,,,,,,,,,,,,,,,19887.5,302.74,,56.41,100,86.92,2786,"{""agent"": ""architect"", ""json_valid"": true, ""schema_compliance"": true, ""module_count"": 4, ""module_completeness"": 100.0, ""pedagogical_structure"": 100, ""latency"": 302.74, ""response_length"": 2786, ""agent_score"": 100, ""generated_content"": ""{\n  \""courseTitle\"": \""La Qu\u00eate de la Programmation Python\"",\n  \""programmingLanguage\"": \""Python\"",\n  \""level\"": \""beginner\"",\n  \""totalDuration\"": \""6 heures\"",\n  \""objectives\"": [\n    \""Comprendre les conditions et les boucles en Python\"",\n    \""Apprendre \u00e0 appliquer les concepts dans des cas simples\""\n  ],\n  \""modules\"": [\n    {\n      \""order\"": 1,\n      \""title\"": \""Le Secret de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""D\u00e9couvrez comment la programmation Python peut r\u00e9soudre des probl\u00e8mes concrets dans le monde r\u00e9el.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Les Conditions en Python\"",\n          \""description\"": \""Apprenez \u00e0 utiliser les conditions pour v\u00e9rifier les valeurs en Python.\""\n        },\n        {\n          \""title\"": \""Les Boucles en Python\"",\n          \""description\"": \""D\u00e9couvrez comment utiliser les boucles pour r\u00e9p\u00e9ter des actions en Python.\""\n        }\n      ]\n    },\n    {\n      \""order\"": 2,\n      \""title\"": \""Les Fondations de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""Comprenez les concepts cl\u00e9s de la programmation Python.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Concept: Conditions\"",\n          \""description\"": \""Les conditions sont utilis\u00e9es pour v\u00e9rifier les valeurs, elles peuvent \u00eatre utilis\u00e9es avec les variables ou directement.\""\n        },\n        {\n          \""title\"": \""Concept: Boucles\"",\n          \""description\"": \""Les boucles sont utilis\u00e9es pour r\u00e9p\u00e9ter des actions, elles peuvent \u00eatre utilis\u00e9es avec les variables ou directement.\""\n        }\n      ]\n    },\n    {\n      \""order\"": 3,\n      \""title\"": \""La Manipulation de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""Apprenez \u00e0 mettre en pratique vos connaissances et obtenez des 'petites victoires' techniques.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Exercice: Quel est le type de condition pour v\u00e9rifier si une variable est sup\u00e9rieure \u00e0 5?\"",\n          \""description\"": \""Options: ['sup\u00e9rieur', 'inf\u00e9rieur', '\u00e9gal']\""\n        },\n        {\n          \""title\"": \""Exercice: Remplis le trou: __________ est utilis\u00e9 pour r\u00e9p\u00e9ter des actions.\"",\n          \""description\"": \""R\u00e9ponse attendue: Boucle\""\n        }\n      ]\n    },\n    {\n      \""order\"": 4,\n      \""title\"": \""L'Expansion de la Programmation Python\"",\n      \""duration\"": \""45 mins\"",\n      \""description\"": \""D\u00e9couvrez comment appliquer vos connaissances \u00e0 des concepts plus complexes ou cr\u00e9atifs.\"",\n      \""exercise_mode\"": \""code\"",\n      \""subTopics\"": [\n        {\n          \""title\"": \""Concept: Conditions et Boucles en Python\"",\n          \""description\"": \""Apprenez \u00e0 utiliser les conditions et les boucles ensemble pour r\u00e9soudre des probl\u00e8mes complexes.\""\n        }\n      ]\n    }\n  ]\n}"", ""ttft_ms"": 19887.5, ""llm_score"": 56.41, ""rag_score"": null, ""final_score"": 86.92, ""context_docs_count"": 3}",outputs\graph_Python_age12_llama3.1_latest_20260516_011718.json
Python,12,beginner,llama3.1:latest,writer,3,44,3,True,True,164,0,70.92,41.63,40.0,,23.4,60.0,0.5,0.853,1.0,0.9231,0.819,ok,0.5,26112.3,153.49,76.2,60.0,54,60.24,1112,"{""agent"": ""writer"", ""json_valid"": true, ""schema_compliance"": true, ""word_count"": 164, ""examples_count"": 0, ""readability"": 70.92, ""lix_value"": 41.63, ""educational_richness"": 0.0, ""keyword_coverage"": 100.0, ""tone_simplicity"": 23.4, ""ragas_faithfulness"": 0.5, ""ragas_answer_relevancy"": 0.853, ""ragas_context_precision"": 1.0, ""ragas_context_recall"": 0.9231, ""ragas_avg"": 0.819, ""ragas_status"": ""ok"", ""latency"": 153.49, ""response_length"": 1112, ""agent_score"": 54, ""content_coverage"": 40.0, ""tone_engagement"": 60.0, ""tone_source"": ""groq"", ""generated_content"": ""{\n  \""order\"": 0,\n  \""title\"": \""Conditionnels et boucles\"",\n  \""content\"": \""## Section 1: Les Conditions, c'est comme un Match de Foot !\\n\\nImaginez que vous \u00eates en train de jouer \u00e0 un match de foot. Vous devez d\u00e9cider si vous allez tirer le pied ou non pour marquer un but. C'est exactement ce que font les conditions dans Python ! Elles v\u00e9rifient les valeurs et d\u00e9clenchent des actions en fonction de celles-ci.\\n\\n[Doc 1] d\u00e9finit les conditions comme \\\""Les conditions sont utilis\u00e9es pour v\u00e9rifier les valeurs, elles peuvent \u00eatre utilis\u00e9es avec les variables ou directement.\\\""\\n\\n## Section 2: Les Boucles, c'est comme une Course de V\u00e9lo !\\n\\nImaginez que vous \u00eates en train de faire une course de v\u00e9lo. Vous devez r\u00e9p\u00e9ter des actions pour arriver \u00e0 votre destination. C'est exactement ce que font les boucles dans Python ! Elles permettent de r\u00e9p\u00e9ter des actions jusqu'\u00e0 ce qu'une condition soit remplie.\\n\\n[Doc 2] d\u00e9finit les boucles comme \\\""Les boucles sont utilis\u00e9es pour r\u00e9p\u00e9ter des actions, elles peuvent \u00eatre utilis\u00e9es avec les variables ou directement.\\\""\"",\n  \""word_count\"": 0,\n  \""language_target\"": \""Python\""\n}"", ""ttft_ms"": 26112.3, ""llm_score"": 60.0, ""rag_score"": 76.2, ""final_score"": 60.24, ""hallucination_rate"": 0.5, ""context_docs_count"": 3}",outputs\graph_Python_age12_llama3.1_latest_20260516_011718.json
