question_id,strategy,evaluation_k,recall_at_k,precision_at_k,mrr,ndcg_at_k,coverage,latency_ms,total_candidate_budget,vector_candidate_k,graph_candidate_k,rrf_k,weights,reranker,embedding_tag,chunk_size,chunk_overlap
1,Chroma (Vector) k=3,3,0.5,0.5,1.0,0.6131471927654584,0.0,561.4337000006344,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
2,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,41.05390000040643,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
3,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,51.870199997210875,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
4,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,46.580700000049546,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
5,Chroma (Vector) k=3,3,1.0,1.0,1.0,1.0,0.0,56.66100000962615,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
6,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.2,62.44179999339394,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
7,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.2,49.95990000315942,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
8,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.6,61.097500001778826,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
9,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.16666666666666666,42.62990001006983,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
10,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,71.96630001999438,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
11,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.4,56.77390002529137,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
12,Chroma (Vector) k=3,3,1.0,1.0,1.0,1.0,0.7142857142857143,110.85719999391586,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
13,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.0,51.396299997577444,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
14,Chroma (Vector) k=3,3,0.5,0.3333333333333333,1.0,0.6131471927654584,0.4,31.93619998637587,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
15,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.6,56.915199995273724,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
16,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.0,48.96549999830313,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
17,Chroma (Vector) k=3,3,0.5,0.5,0.5,0.38685280723454163,0.3333333333333333,59.336000005714595,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
18,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.5,45.650499989278615,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
19,Chroma (Vector) k=3,3,0.5,0.5,0.5,0.38685280723454163,0.8,38.857300009112805,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
20,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.0,34.95430000475608,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
MEAN,Chroma (Vector) k=3,3,0.425,0.6416666666666667,0.7,0.47591623674445627,0.24571428571428572,79.06686500209616,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
1,Neo4j (Vector) k=3,3,0.5,0.5,1.0,0.6131471927654584,0.0,50.49799999687821,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
2,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,43.84199998457916,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
3,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,43.3284999744501,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
4,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,60.31729999813251,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
5,Neo4j (Vector) k=3,3,1.0,1.0,1.0,1.0,0.0,28.15940001164563,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
6,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.2,38.62979999394156,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
7,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.2,39.40300000249408,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
8,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.6,39.96310001821257,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
9,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.16666666666666666,39.69320000032894,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
